zip_file,chiban
29201-1500-130.zip,4150
29201-1500-131.zip,1751
29201-1500-138.zip,3476-1
29201-1500-140.zip,1462-1
29201-1500-141.zip,64-13
29201-1500-142.zip,3096-2
29201-1500-143.zip,1562-1
29201-1500-144.zip,1561-1
29201-1500-2.zip,235-1
29201-1500-21.zip,23-1
29201-1500-22.zip,2504
29201-1500-23.zip,1969-1
29201-1500-24.zip,1372
29201-1500-25.zip,281-44
29201-1500-28.zip,360-4
29201-1500-29.zip,1963
29201-1500-3.zip,1544-3
29201-1500-36.zip,313
29201-1500-37.zip,9
29201-1500-379.zip,895
29201-1500-38.zip,1640
29201-1500-380.zip,412-1
29201-1500-381.zip,188-1
29201-1500-382.zip,5800
29201-1500-384.zip,3547
29201-1500-385.zip,793-1
29201-1500-39.zip,1-2
29201-1500-391.zip,1629
29201-1500-40.zip,1092
29201-1500-41.zip,121
29201-1500-42.zip,1-1
29201-1500-44.zip,1200
29201-1500-447.zip,602-1
29201-1500-5.zip,1
29201-1500-61.zip,948
29201-1500-717.zip,902-363
29201-1500-718.zip,840-135
29201-1500-719.zip,840-11
29201-1500-720.zip,902-374W1
29201-1500-721.zip,902-7
29201-1500-722.zip,902-378
29201-1500-729.zip,1666-1
29201-1500-730.zip,1-1
29201-1500-743.zip,5-1
29201-1500-746.zip,346-1
29201-1500-792.zip,1211
29201-1500-8.zip,1575
29201-1500-825.zip,10-1
29201-1500-827.zip,10-1
29201-1500-828.zip,5
29201-1500-842.zip,2-5
29201-1500-9.zip,1598-1
29201-1500-932.zip,1160-1
29201-1500-941.zip,1759-1
29201-1500-942.zip,919
29201-1500-958.zip,1534
29201-1500-965.zip,106
29201-1500-973.zip,2046
29201-1500-974.zip,3896
29201-1500-977.zip,910
29201-1500-978.zip,186
29201-1500-988.zip,6416
29201-1500-989.zip,398
29202-1501-13.zip,280-1
29202-1501-31.zip,167-6
29202-1501-32.zip,57
29202-1501-33.zip,42-1
29202-1501-35.zip,56-1
29202-1501-37.zip,1-1
29202-1501-38.zip,93
29202-1501-39.zip,680-1
29202-1501-40.zip,243-1
29202-1501-41.zip,239-1
29202-1501-43.zip,305-2
29202-1501-44.zip,142
29202-1501-46.zip,78-1
29202-1501-5.zip,11-1
29202-1501-7.zip,425
29202-1501-9.zip,124
29203-1500-122.zip,803-4
29204-1500-132.zip,1-1
