code,kokyozahyo_area
20201,0
20202,108
20203,6
20204,0
20205,0
20206,0
20207,0
20208,0
20209,0
20210,0
20211,0
20212,0
20213,0
20214,0
20215,0
20217,34
20218,0
20219,0
20220,0
20303,5
20304,16
20305,2
20306,14
20307,13
20309,5
20321,9
20323,0
20324,1
20349,0
20350,21
20361,0
20362,1
20363,0
20382,0
20383,0
20384,0
20385,2
20386,1
20388,0
20402,11
20403,0
20404,3
20407,31
20409,10
20410,25
20411,0
20412,6
20413,0
20414,11
20415,18
20416,20
20417,0
20422,0
20423,0
20425,0
20429,13
20430,0
20432,11
20446,0
20448,0
20450,0
20451,0
20452,0
20481,0
20482,0
20485,0
20486,0
20521,0
20541,0
20543,0
20561,0
20562,4
20563,0
20583,0
20588,0
20590,0
20602,6
