code,kokyozahyo_area
07201,0
07202,0
07203,0
07204,10
07205,3
07207,3
07208,0
07209,1
07210,2
07211,4
07212,7
07213,1
07214,0
07301,0
07303,0
07308,0
07309,0
07321,0
07322,3
07342,0
07344,0
07362,0
07364,13
07367,2
07368,11
07402,0
07405,0
07407,0
07408,0
07421,0
07422,0
07423,0
07444,0
07445,0
07446,0
07447,0
07461,29
07464,1
07465,0
07466,0
07481,3
07482,1
07483,0
07484,3
07501,1
07502,0
07503,0
07504,0
07505,1
07521,0
07522,0
07541,4
07542,1
07543,4
07544,81
07545,3
07546,1
07547,1
07548,0
07561,2
07564,6
