code,kokyozahyo_area
23101,0
23102,0
23103,0
23104,0
23105,0
23106,0
23110,0
23111,0
23112,0
23113,0
23114,0
23115,0
23116,0
23201,0
23202,0
23203,0
23204,0
23205,0
23206,0
23207,0
23208,0
23209,0
23210,0
23211,3
23212,0
23213,0
23214,0
23215,0
23216,0
23217,0
23219,0
23220,0
23221,0
23222,0
23223,0
23224,0
23225,0
23226,0
23227,0
23228,0
23229,0
23230,0
23231,0
23233,0
23234,0
23235,0
23236,0
23237,0
23238,0
23302,0
23342,0
23361,0
23362,0
23424,0
23425,0
23427,0
23441,0
23442,0
23446,0
23447,0
23482,0
23501,0
23521,0
23561,53
23562,0
23563,0
