zip_file,chiban
19201-0900-100.zip,120-4
19201-0900-101.zip,402-1
19201-0900-102.zip,964
19201-0900-108.zip,805
19201-0900-115.zip,700-1
19201-0900-117.zip,252-1
19201-0900-122.zip,88-3
19201-0900-126.zip,1109-2
19201-0900-128.zip,1-6
19201-0900-136.zip,2278-11
19201-0900-137.zip,981-2
19201-0900-138.zip,3462-22
19201-0900-139.zip,3972-2
19201-0900-140.zip,4275
19201-0900-141.zip,4685
19201-0900-93.zip,567
19201-0900-94.zip,3396-24W1
19201-0900-96.zip,61-8
19201-0900-97.zip,1048-3
19201-0900-98.zip,2456
19202-0917-37.zip,4651-2
19202-0917-48.zip,1964-52
19202-0917-49.zip,3346-2
19202-0917-61.zip,2443-6
19202-0917-63.zip,2424
19204-0918-94.zip,2441
19205-0900-100.zip,439
19205-0900-101.zip,1131
19205-0900-30.zip,2179-1
19205-0900-31.zip,1855-1W1
19205-0900-34.zip,285-4
19205-0900-35.zip,189
19205-0900-36.zip,571-1
19205-0900-41.zip,74
19205-0900-42.zip,785-1
19205-0900-43.zip,2774-1
19205-0900-46.zip,287
19205-0900-51.zip,39-1
19205-0900-82.zip,462-1
19205-0900-87.zip,567-1
19205-0900-89.zip,3699-1
19205-0900-93.zip,1564-1
19205-0900-95.zip,1816-1
19205-0900-97.zip,1823-57
19205-0900-98.zip,2113
19206-0918-504.zip,18-1
19206-0918-505.zip,767
19207-0908-13.zip,6218-1
19207-0908-14.zip,2026-1
19207-0908-15.zip,2012-1
19207-0908-18.zip,3815-3
19207-0908-19.zip,2550-3
19207-0908-21.zip,3022-5
19207-0908-22.zip,1552-1
19207-0908-23.zip,1418-9
19207-0908-26.zip,1-11
19207-0908-27.zip,3316
19207-0908-28.zip,2105
19207-0908-29.zip,441-1
19207-0908-3.zip,3854-1
19207-0908-31.zip,587-1
19207-0908-33.zip,2416
19207-0908-34.zip,3224-1
19207-0908-37.zip,3561-1
19207-0908-8.zip,4664
19208-0900-26.zip,1361-1
19208-0900-27.zip,673-5
19208-0900-34.zip,2425-6
19208-0900-36.zip,113-1
19208-0900-41.zip,4567-1
19208-0900-47.zip,968
19208-0900-52.zip,2231-1
19208-0900-53.zip,852-4
19208-0900-58.zip,3302-2
19208-0900-60.zip,1466-6
19209-0908-112.zip,6309-8
19209-0908-114.zip,6667-1
19209-0908-124.zip,4012-1
19209-0908-125.zip,10060-1W1
19209-0908-127.zip,10061
19209-0908-131.zip,66-26
19209-0908-187.zip,35-1
19209-0908-205.zip,1-1
19209-0908-210.zip,10060-906
19209-0908-227.zip,3-2
19209-0908-32.zip,8240-1
19209-0908-37.zip,4063-3
19209-0908-66.zip,1770-4
19209-0908-67.zip,498
19209-0908-72.zip,1411-3
19209-0908-73.zip,2608-1
19210-0900-27.zip,8141-1
19210-0900-29.zip,1896-1
19210-0900-30.zip,942
19210-0900-35.zip,3087-1
19210-0900-36.zip,3605-2
19210-0900-38.zip,673
19210-0900-41.zip,942-1
19210-0900-43.zip,592-1
19210-0900-44.zip,1379
19210-0900-49.zip,2795-5
19210-0900-51.zip,1549-1
19210-0900-53.zip,139-1
19210-0900-56.zip,2000-17
19210-0900-57.zip,1107-2
19210-0900-58.zip,562
19211-0900-103.zip,1443-2
19211-0900-105.zip,3781-1
19211-0900-106.zip,1446-1
19211-0900-107.zip,634-1
19211-0900-119.zip,14-6
19211-0900-139.zip,1438
19211-0900-26.zip,832-1
19211-0900-28.zip,3268-2
19211-0900-29.zip,5668
19211-0900-32.zip,535-2
19211-0900-33.zip,748-1
19211-0900-48.zip,2061-1
19211-0900-52.zip,2359-3
19211-0900-59.zip,558
19211-0900-61.zip,977-2
19211-0900-75.zip,768-1
19211-0900-96.zip,166-1
19211-0900-97.zip,267
19211-0900-98.zip,506
19211-0900-99.zip,1551
19212-0918-221.zip,8094
19213-0900-109.zip,635
19213-0900-112.zip,4326
19213-0900-115.zip,990
19213-0900-116.zip,1112-1
19213-0900-118.zip,1042
19213-0900-126.zip,13-1
19213-0900-128.zip,25
19213-0900-129.zip,1158-1
19213-0900-138.zip,2551-1
19213-0900-139.zip,1728-1
19213-0900-141.zip,248
19213-0900-143.zip,4445
19213-0900-145.zip,797-1
19213-0900-162.zip,68-1
19214-0900-28.zip,1503
19214-0900-30.zip,3-11
19214-0900-32.zip,3620-4
19214-0900-38.zip,1
19214-0900-39.zip,1
19214-0900-43.zip,2546-2
19214-0900-48.zip,3679
19214-0900-54.zip,3609
19346-0901-111.zip,6400-1
19346-0901-113.zip,6550
19346-0901-116.zip,3829-1
19346-0901-122.zip,60-1
19346-0901-46.zip,6361-1
19346-0901-48.zip,4187-1
19346-0901-49.zip,6211
19346-0901-56.zip,98
19346-0901-63.zip,333-11
19346-0901-69.zip,2-1
19346-0901-70.zip,366
19346-0901-82.zip,368-1
19346-0901-83.zip,3563-13
19346-0901-86.zip,3497
19346-0901-93.zip,125
19346-0901-94.zip,1002-1
19365-0901-161.zip,5467-3
19365-0901-163.zip,5498
19365-0901-202.zip,3167-2
19365-0901-216.zip,2991
19366-0901-91.zip,171-1
19368-0901-42.zip,761-2
19368-0901-46.zip,3337-15
19368-0901-53.zip,2380-6
19368-0901-54.zip,2829-1
19368-0901-55.zip,2647
19368-0901-56.zip,2629-20
19368-0901-62.zip,1387-3
19368-0901-65.zip,108-1
19368-0901-72.zip,4201-2
19384-0900-10.zip,95
19384-0900-11.zip,206
19384-0900-12.zip,1-1
19384-0900-13.zip,42
19384-0900-15.zip,559-7
19384-0900-16.zip,383-1
19384-0900-17.zip,229-2
19384-0900-18.zip,1164
19384-0900-19.zip,141-3
19384-0900-22.zip,1032-2
19384-0900-23.zip,79-7
19384-0900-24.zip,827-2
19384-0900-25.zip,5373
19384-0900-27.zip,1613-5
19423-0917-11.zip,3767
19423-0917-12.zip,3815
19423-0917-13.zip,1081
19423-0917-3.zip,839-1
19423-0917-4.zip,1726-1
19423-0917-5.zip,859-2
19423-0917-6.zip,1734-1
19423-0917-7.zip,443-2
19423-0917-8.zip,2540
19423-0917-9.zip,1308
19424-0917-22.zip,3614-6
19424-0917-28.zip,2427-3
19424-0917-30.zip,2036-1
19424-0917-31.zip,4361
19424-0917-32.zip,4864-1
19424-0917-33.zip,1327-2
19424-0917-35.zip,3178-1
19424-0917-36.zip,3187-1
19425-0917-21.zip,1099-348
19425-0917-25.zip,1095-3
19425-0917-26.zip,1212-17
19429-0917-12.zip,3021
19429-0917-8.zip,8529-61
19429-0917-9.zip,8510
19430-0917-79.zip,804
19430-0917-81.zip,3954-1
19430-0917-88.zip,3718-1
