code,area
10201,149930482.4953191
10202,127666758.59241976
10203,42114473.96992102
10204,31854137.954212863
10205,52378917.485120036
10206,23119683.51870799
10207,10902570.069909833
10208,150620012.3941269
10209,45518663.418187246
10210,64801670.9742889
10211,90594237.7208411
10212,18714076.844972678
10303,1252.6436907747257
10342,81.85663845218644
10344,1957963.8911417576
10345,2322826.556725493
10366,10031899.67943595
10367,4550834.909668909
10382,79622.90402749061
10383,9662.701841270933
10384,40795806.307029456
10421,99314476.15348268
10424,34933925.438870676
10425,85420759.3942971
10426,9799580.901163429
10428,55381863.675438575
10429,65589885.89804702
10443,2399721.933622108
10444,2138484.1426580125
10448,12347562.474820599
10449,84513553.79054968
10464,14089948.264932984
10521,3588869.398589785
10522,15246513.985731227
10523,608021.1224558139
10524,1177984.5543869382
10525,1702767.5994741442
11101,1498161.7352317537
11102,788793.6549614395
11103,327819.1688886032
11104,2189017.6867227443
11105,275010.7450865208
11106,34583.084858262446
11107,1457550.0789346644
11108,591441.1991511825
11109,4664083.901523544
11110,2366207.423678418
11201,36374879.22002335
11202,70846551.36289312
11203,9045125.014052814
11206,7341918.360893093
11207,11692143.721068388
11208,30326848.24818665
11209,18032869.362687178
11210,76811917.93862332
11211,55507537.7790227
11212,28480009.11083964
11214,19094302.846551824
11215,33675080.124683596
11216,5014150.569098806
11217,11863624.147287812
11218,34306264.87635053
11219,12831621.466821097
11221,2051468.2311995763
11222,5596100.3087823065
11225,30923884.779619828
11227,802227.8045117637
11228,2051167.5251368016
11229,436905.1249739849
11230,674716.1806442158
11231,3172124.2232581563
11232,8302279.691047457
11233,58222.86299471049
11234,909489.6986269268
11235,2250081.4086402794
11237,3422706.132684463
11238,1644875.4261645286
11239,28235807.082395375
11240,481249.53553098085
11241,15370330.605827276
11242,37143934.01157699
11243,2474053.7302381666
11245,6981149.103383103
11246,2944687.966210753
11301,2994557.0749300984
11324,14054551.92383592
11326,30972384.242836244
11327,36727504.60118283
11341,21214036.789430737
11342,27128394.9879049
11343,39416615.79685296
11346,523441.9604668712
11347,1759063.0643077327
11348,24044915.900101826
11349,22067552.929793615
11361,57772.8281779389
11362,103338.25317370889
11365,13096240.45483722
11369,2574314.3231288004
11381,15765797.955462106
11383,18824230.529693678
11385,13536964.842453308
11401,818.5316772352851
11408,1990114.3313563026
11421,24342.058420960973
11424,10650.191282659081
11425,88299.72164168267
11442,373166.15529870195
11445,1294.4625935102445
11461,1642.0805938598717
11464,1854002.4911995397
11465,466761.1025525428
12101,5717390.764022006
12102,1691201.499291643
12103,861881.646408368
12104,2827072.967495373
12105,1714466.3615332667
12202,1581979.4339841513
12203,2391654.960853543
12204,1975360.589188529
12205,1508257.2459766315
12206,12684825.822432568
12207,1340866.2555775838
12208,17629760.196540423
12210,3079894.190229542
12211,68660821.26318084
12212,3884643.8018136234
12213,7362546.4568623565
12215,40683784.226741895
12216,2931628.2149755196
12217,11201032.433433663
12218,1855182.089417528
12219,19316770.21524601
12220,3619133.139601703
12221,4662199.8999310825
12222,1136029.720443087
12223,6861269.398212373
12224,678823.6589760584
12225,12169936.307237752
12226,16627072.158914678
12227,6481791.982744296
12228,1071103.69332878
12229,10120645.94246386
12230,79286.54456390336
12231,15888559.232011778
12232,5203079.071090576
12233,133010.4887644509
12234,93715525.00272933
12235,35565.62942906184
12236,79207708.52996157
12237,12707168.42349541
12238,9038939.979892025
12239,2260440.511613602
12322,718475.4760868635
12329,1915467.083200683
12342,10632095.231457947
12347,49016163.26200472
12349,33048838.900170658
12402,4.70630103861652
12403,21183.3837796872
12409,7836977.842136397
12410,3463173.651991523
12421,17951419.550491344
12422,9439308.285560776
12423,9510080.243108746
12424,19069971.035768006
12426,15221076.384859245
12427,14187006.021142794
12441,10417471.700165339
12463,32140114.685275383
13101,250066.57763490494
13102,764618.5087632796
13103,1428636.4631939947
13104,587964.6002383017
13105,554114.3876241754
13106,20291.254619599666
13107,340449.4587031359
13108,5074790.970006711
13109,5608611.10875624
13110,80472.75502163575
13111,1654426.3158033204
13112,2346581.045884674
13113,2157448.6193621014
13114,180987.74182730442
13115,84370.73145298916
13116,1993834.5422476714
13117,812651.9702639967
13119,3359360.9304652717
13120,673249.9500908466
13121,3820825.078382474
13122,6254063.209290162
13123,8711814.907626966
13201,20886601.60692052
13202,1075545.0200226016
13203,99569.47786982443
13204,29343.871372321177
13205,8400705.274133727
13206,177818.03177101174
13207,1383845.9460075283
13208,54281.57151122381
13209,8259232.743308491
13210,10390.409689532657
13211,366264.9082871076
13212,2660169.786927274
13213,24346.553462010914
13214,245905.58789547265
13215,140062.3252310667
13218,1829922.8771668589
13220,344995.85393115925
13222,241080.00799691497
13223,331820.7079289833
13224,14685812.330086375
13225,1829168.3327267584
13227,3085206.067603369
13228,15533554.036783136
13229,69059.79712801559
13303,8996986.444070086
13305,13775843.383800657
13308,1296345.1637782783
13361,84890339.686268
13362,3961918.843439145
13363,26157496.214575637
13364,18124574.308000904
13381,52851169.164530024
13382,19783941.78702042
13401,58827585.09675989
13402,1900183.924414939
13421,17793298.690019652
14101,12399.252090083095
14102,6771798.851330924
14103,1228872.918730303
14104,3999486.8702456425
14105,843511.0400047106
14106,10396517.965943221
14107,31183.63360045489
14108,3434186.4284192645
14109,838307.9426002661
14110,20786693.973684467
14111,2860335.861745917
14112,26486095.993026387
14113,16818643.35285216
14114,14651564.046726523
14115,14514090.411667256
14116,14779500.514526403
14117,16733101.127943918
14118,823828.6336421733
14131,227922.8644774918
14132,22872.29882063471
14133,562165.9954974322
14135,1865194.8771475286
14136,525852.879542141
14137,10953712.22220422
14151,5085977.6982204
14152,1048280.9489923209
14153,951462.9544209087
14201,6378310.580277218
14203,1616014.6490610677
14204,381476.1493598223
14205,11772050.825843569
14206,1119109.8851596513
14207,1064949.5523805267
14208,82510.03017547468
14210,1181414.9353587658
14211,1223543.1652127088
14212,7152802.64480674
14213,613365.1480337007
14214,6504625.194557463
14215,4928061.0726065235
14216,280524.88422555197
14217,12295937.665701076
14218,252745.08073318217
14321,99605.97870266992
14342,925045.1351442264
14361,3028673.222729334
14362,8462579.887712734
14363,525656.139067059
14364,1006263.1191451822
14366,2091593.1705804623
14384,131744.68477433667
14401,54399.73666370455
14402,31868.39666336343
15101,17723094.301443107
15102,11410162.680397617
15103,8868612.33395297
15104,23089552.147148326
15105,14520160.290047577
15106,83661458.79871243
15107,38954143.91849438
15108,72921148.00555547
15202,156911226.38585275
15204,47984627.92411916
15205,17306986.84240981
15206,146542837.67543462
15208,38009168.04421658
15209,6122333.191350328
15210,61846023.27516531
15211,21660524.85291935
15212,201643490.4316478
15213,58373978.35440237
15216,23632448.12638549
15217,20886300.563400567
15218,14596797.99099253
15222,276956070.37007767
15223,86894344.98743474
15224,601805899.0640749
15225,368709874.2318875
15226,107386620.24169537
15227,116856305.10810858
15307,24239047.30396054
15342,20025070.93822599
15361,7389662.942402559
15385,24247884.34116882
15405,4332804.940764771
15461,12761400.771884833
15482,51089850.42607836
15504,13652781.769524198
15581,50774631.59580262
15584,13.013288565613614
15586,3932544.6923515047
16201,137550659.0581536
16202,49125003.48959305
16204,10106329.794665713
16205,63022038.027075574
16206,34428454.11922499
16207,30007980.18271197
16208,53574762.3792938
16209,28524039.499532934
16210,78405238.62355232
16211,28108510.22239121
16301,448.85173627736066
16321,2929124.8734541717
16322,12412075.31915664
16323,31322755.72939844
16342,25094237.906585794
16343,8419492.476663463
17201,105295724.15064722
17202,17803922.78347737
17203,21465164.49713396
17204,2767281.3446602756
17205,7288039.585124372
17206,44765228.91173181
17207,48326034.11769148
17209,25651596.29129004
17210,74736305.88148668
17211,18929460.850559227
17212,8641525.802340034
17324,8217675.661633936
17344,1488.706056946611
17361,13976567.1652545
17365,10123786.781354224
17384,63573635.318000734
17386,22227247.520031996
17407,19498021.60495082
17461,117590.28265137092
17463,7526240.541454519
18201,69096516.33484057
18202,11884906.582333127
18204,9528537.570936728
18205,31858766.91552877
18206,9484163.524078092
18207,16039363.464375068
18208,35740350.246373974
18209,17091616.95022991
18210,43802949.63171351
18322,4820582.6317948615
18382,1226298.3634305282
18404,9672834.898562271
18423,6962356.533778125
18442,9429326.569547828
18481,3619371.4260249934
18483,15939302.732230809
18501,27789385.60689577
19201,54072445.90913966
19202,6762585.810755276
