xml_file,outside_area_rate
01101-4300-14.xml,0.025794829374181538
01101-4300-15.xml,0.022150409028570683
01101-4300-19.xml,0.021376636489209733
01101-4300-28.xml,0.13851790643715822
01101-4300-30.xml,0.06854749701729279
01101-4300-4.xml,0.0927793128593436
01101-4300-46.xml,0.03330667962000844
01102-4306-1.xml,0.01184272812191478
01102-4306-16.xml,0.1498992338765862
01102-4306-3.xml,0.04076476735539536
01102-4306-36.xml,0.011546722854070435
01102-4306-38.xml,0.011632335375451275
01102-4306-39.xml,1
01102-4306-8.xml,1
01103-4306-47.xml,1
01103-4306-48.xml,0.8766577019138339
01103-4306-51.xml,0.015803144865656926
01103-4306-57.xml,0.32187626659844415
01103-4306-7.xml,0.06716974008439935
01103-4306-9.xml,0.02536608173272692
01104-4316-31.xml,0.017670613889743336
01104-4316-44.xml,0.019117406658440306
01104-4316-47.xml,1
01104-4316-54.xml,0.017048237121555454
01105-4307-1.xml,1
01105-4307-22.xml,0.03946177622445435
01105-4307-23.xml,0.01403992940166554
01105-4307-26.xml,1
01105-4307-27.xml,0.9986702572511286
01105-4307-28.xml,1
01105-4307-30.xml,0.02334053771882194
01105-4307-38.xml,0.09709751340484962
01105-4307-4.xml,0.011110729111926343
01105-4307-43.xml,0.010780526783266353
01106-4307-15.xml,1
01106-4307-16.xml,1
01106-4307-24.xml,1
01106-4307-25.xml,1
01106-4307-26.xml,1
01106-4307-27.xml,1
01106-4307-29.xml,1
01106-4307-34.xml,1
01106-4307-39.xml,0.022308362819936423
01106-4307-44.xml,0.020730450178467086
01107-4313-18.xml,0.19636814210108156
01107-4313-41.xml,0.01197637977736099
01107-4313-42.xml,0.04143184308454961
01107-4313-43.xml,0.012927794911444135
01108-4316-10.xml,0.01631839025671189
01108-4316-33.xml,1
01108-4316-36.xml,0.013585897590182361
01108-4316-4.xml,0.014321594549447925
01109-4313-17.xml,0.01721047610886617
01109-4313-19.xml,0.03877585513496895
01109-4313-22.xml,0.8247789975069594
01109-4313-23.xml,0.1210035790167645
01109-4313-34.xml,0.024573218846221323
01109-4313-36.xml,1
01109-4313-40.xml,0.026546070145775702
01109-4313-41.xml,0.023289459075262697
01110-4307-11.xml,0.014227747311509997
01110-4307-17.xml,1
01202-4400-41.xml,1
01202-4400-73.xml,0.014881450965050225
01202-4400-78.xml,0.019544031913770965
01203-4304-2.xml,0.013372338147356944
01203-4304-22.xml,1
01203-4304-26.xml,0.012978963418949774
01203-4304-29.xml,0.014959663485225483
01203-4304-33.xml,0.025794635252913478
01203-4304-67.xml,0.013745821021636462
01204-4500-103.xml,1
01204-4500-116.xml,0.04331343492712869
01204-4500-149.xml,0.01189128636839576
01204-4500-63.xml,0.010060363216404133
01204-4500-78.xml,1
01204-4500-99.xml,0.03382412133001611
01205-4302-13.xml,0.046920593425373025
01206-4600-115.xml,0.01071079861981783
01206-4600-137.xml,0.018140564229696787
01206-4600-142.xml,0.014260415694446471
01208-4603-110.xml,0.01420422585711123
01208-4603-28.xml,0.012453223059367469
01208-4603-45.xml,0.010233376790010351
01208-4603-66.xml,0.017095991695139312
01208-4603-71.xml,0.012141575875668442
01209-4301-45.xml,0.020963427165575865
01210-4301-102.xml,0.03562253287898942
01210-4301-109.xml,0.013069329746561609
