code,kokyozahyo_total,kokyozahyo_outside
20201,302739,250
20202,138516,659
20203,116309,187
20204,969,119
20205,341513,682
20206,1538,58
20207,3025,35
20208,114237,1045
20209,103188,78
20210,13769,
20211,3288,4
20212,82993,154
20213,37312,158
20214,23784,170
20215,51495,323
20217,283245,1094
20218,109743,189
20219,88800,802
20220,218423,426
20303,46684,376
20304,23932,55
20305,19236,107
20306,18119,152
20307,13627,121
20309,80090,418
20321,79750,260
20323,42644,512
20324,45005,758
20349,7591,9
20350,52470,320
20361,346,9
20362,81821,478
20363,7470,188
20382,40872,169
20383,62716,605
20384,23056,58
20385,28658,335
20386,26570,290
20388,14975,158
20402,62034,622
20403,51364,203
20404,48738,438
20407,63915,417
20409,5777,93
20410,16747,161
20411,31134,177
20412,8264,115
20413,11869,52
20414,21876,56
20415,39021,249
20416,46426,338
20417,15529,
20422,3509,20
20423,28452,28
20425,20561,43
20429,8985,53
20430,19718,5
20432,65043,72
20446,5267,96
20448,25967,285
20450,17698,287
20451,1010,68
20452,8912,48
20481,26255,309
20482,25781,122
20485,25454,
20486,107,
20521,18849,30
20541,54,
20543,26858,15
20561,40451,95
20562,7147,72
20563,2841,14
20583,54638,409
20588,89121,689
20590,46362,341
20602,33481,150
