code,kokyozahyo_total,kokyozahyo_outside
30201,100297,96
30202,103468,745
30203,65423,281
30204,40443,182
30205,29026,383
30206,160146,490
30207,14615,10
30208,169028,1291
30209,50100,346
30304,60237,408
30341,79758,786
30343,21852,446
30344,5874,55
30361,19269,343
30362,33906,250
30366,129334,747
30381,11951,260
30382,34803,377
30383,22839,133
30390,40671,236
30391,36700,216
30392,69927,495
30401,27740,65
30404,24142,169
30406,14983,23
30421,9090,20
30422,9116,107
30424,4651,16
30427,3203,
30428,13709,32
