code,kokyozahyo_total,kokyozahyo_outside
14101,3,
14102,21733,819
14103,446,36
14104,3054,32
14105,6253,107
14106,46995,503
14107,352,
14108,8109,45
14109,4679,126
14110,91332,1173
14111,10656,513
14112,111450,902
14113,52845,512
14114,58183,328
14115,53602,973
14116,66211,312
14117,52283,658
14118,1357,
14131,44,
14132,7,
14133,3512,8
14135,8451,180
14136,3518,37
14137,36306,1584
14151,17365,20
14152,2483,27
14153,2611,8
14201,10188,9
14203,4665,75
14204,589,3
14205,38558,218
14206,2316,4
14207,3156,50
14208,64,
14210,1658,
14211,2678,3
14212,31668,10
14213,2433,
14214,17866,85
14215,20407,165
14216,582,12
14217,41599,333
14218,1337,94
14321,296,
14342,3379,104
14361,7573,122
14362,24978,235
14363,2765,50
14364,4641,
14366,6374,267
14384,634,1
14401,164,
14402,53,
