code,kokyozahyo_total,kokyozahyo_outside
29201,72486,2528
29202,24424,502
29203,2463,2
29204,10252,207
29205,3016,26
29206,5843,59
29207,23459,85
29208,1993,24
29209,17227,183
29210,29548,324
29211,50325,768
29212,68437,180
29322,50932,1124
29342,19642,258
29343,6814,189
29344,6463,128
29345,372,
29361,49,
29363,2026,90
29385,2141,
29386,3149,33
29401,259,24
29402,10732,260
29424,3880,126
29425,6853,124
29426,28381,504
29427,8392,173
29441,37010,155
29442,34246,277
29443,19341,197
29444,6201,1
29446,8982,
29447,367,34
29449,7,
29450,5261,
29451,1829,
29452,144,
29453,2845,
