code,kokyozahyo_total,kokyozahyo_outside
34101,5587,11
34102,8291,40
34103,17039,43
34104,11471,31
34105,19926,289
34106,18785,57
34107,13912,46
34108,42949,329
34202,178379,1311
34203,7287,117
34204,197031,959
34205,60302,242
34207,322583,775
34208,44920,377
34209,289542,951
34210,171231,742
34211,33518,419
34212,533850,1250
34213,59945,791
34214,246760,907
34215,114818,565
34302,3253,8
34304,445,3
34307,52732,284
34309,575,26
34368,100627,349
34369,227543,654
34431,17909,209
34462,151690,800
34545,111509,706
