code,kokyozahyo_total,kokyozahyo_outside
26101,3684,166
26102,4528,224
26103,5282,
26104,3479,32
26105,2059,
26106,3076,24
26107,6653,103
26108,7578,32
26109,13335,47
26110,4896,
26111,14850,12
26201,149289,127
26202,5541,49
26203,15974,29
26204,4141,11
26205,24067,70
26206,14839,161
26207,4151,2
26208,269,15
26209,895,
26210,7051,315
26211,68057,433
26212,28123,
26213,20365,13
26214,50857,100
26322,3245,6
26343,327,
26344,223,3
26365,14254,79
26366,1033,14
26367,616,13
26407,12402,3
26463,659,23
26465,38606,15
