code,kokyozahyo_total,kokyozahyo_outside
27102,2,
27103,60,
27104,295,10
27107,15496,62
27108,9547,3
27109,1153,49
27111,3214,
27113,316,
27117,8,
27118,16,
27122,4178,201
27123,6530,
27124,2920,4
27125,3549,56
27126,5307,57
27127,100,
27128,2490,247
27141,377,17
27142,768,
27143,27,
27144,3813,200
27145,2017,
27146,2597,
27147,217,
27202,10388,70
27203,7911,97
27204,549,49
27205,2266,7
27206,1729,115
27207,3441,178
27208,3109,14
27209,15825,228
27210,29970,324
27211,18597,116
27212,1287,14
27213,2554,38
27214,7850,12
27215,3382,2
27216,9891,5
27217,957,
27218,1798,97
27219,9014,177
27220,10117,146
27223,4347,73
27224,4051,13
27225,1387,4
27226,585,42
27227,8669,71
27228,3647,17
27229,14726,492
27230,564,19
27231,186,
27232,5088,
27301,105,
27321,1164,
27322,7965,
27361,4730,4
27362,5712,209
27366,272,15
27381,61,
27382,945,54
27383,177,
