code,kokyozahyo_total,kokyozahyo_outside
39201,108546,1086
39202,6968,57
39203,3220,
39204,20223,421
39205,7065,122
39206,5431,
39208,23633,209
39209,18349,25
39210,63933,282
39211,26818,46
39212,53232,101
39301,2032,1
39303,7450,69
39304,7359,115
39305,9340,74
39306,8984,32
39307,3356,26
39341,26457,157
39344,84106,360
39363,53689,239
39364,6812,59
39386,64778,225
39387,149359,437
39401,20492,205
39402,51117,542
39403,25598,317
39405,63432,135
39410,35916,209
39411,45921,394
39412,105402,334
39424,19455,176
39427,18866,77
39428,24243,65
