code,kokyozahyo_total,kokyozahyo_outside
08201,217347,1701
08202,122381,426
08203,130370,913
08204,88900,602
08205,141622,824
08207,38166,410
08208,38404,1076
08210,59405,650
08211,40907,251
08212,209579,671
08214,35210,214
08215,31999,98
08216,161162,450
08217,22328,119
08219,74382,850
08220,196096,1076
08221,61643,649
08222,32668,24
08223,10336,148
08224,4785,43
08225,221559,988
08226,122457,907
08227,122474,1157
08228,61515,405
08229,66902,451
08230,125556,977
08231,117136,568
08232,14587,23
08233,139697,493
08234,157252,827
08235,13119,46
08236,118211,1217
08302,81552,859
08309,14141,802
08310,66529,286
08341,39944,201
08364,59325,269
08442,33670,342
08443,85917,891
08447,13960,279
08521,53517,752
08542,9854,82
08546,49803,617
08564,19785,197
