code,kokyozahyo_total,kokyozahyo_outside
03201,173665,941
03202,70055,190
03203,86182,353
03205,395393,1858
03206,132292,2734
03207,91221,510
03208,108317,164
03209,535765,1063
03210,74351,411
03211,39059,155
03213,105344,397
03214,141930,398
03215,278753,4858
03216,72992,576
03301,85401,398
03302,36335,203
03303,64041,432
03321,115648,846
03322,69398,772
03366,59492,65
03381,47826,230
03402,31824,500
03441,34381,121
03461,9230,59
03482,22255,172
03483,54318,272
03484,17034,211
03485,9288,147
03501,43658,443
03503,14076,128
03506,27171,238
03507,53020,340
03524,57122,384
