code,kokyozahyo_total,kokyozahyo_outside
28101,9946,85
28102,18030,118
28105,20159,95
28106,3740,56
28107,9295,198
28108,10524,101
28109,63801,120
28110,24868,231
28111,86852,958
28201,132995,256
28202,23303,91
28203,94093,645
28204,20593,34
28205,12460,8
28206,5161,86
28207,11690,145
28208,13649,26
28209,53643,237
28210,143156,1066
28212,13069,5
28213,27110,89
28214,19748,163
28215,90730,394
28216,59931,463
28217,22365,68
28218,76823,465
28219,37136,1230
28220,51917,141
28221,24426,48
28222,35089,80
28223,155116,73
28224,114771,91
28225,84560,206
28226,49677,116
28227,163397,236
28228,64167,352
28229,67161,45
28301,16600,16
28365,39583,122
28381,38723,2449
28382,3393,95
28442,36117,79
28443,38425,260
28446,39605,139
28464,5057,93
28481,27490,19
28501,41000,88
28585,25372,30
28586,6254,17
