code,kokyozahyo_total,kokyozahyo_outside
18201,117125,604
18202,16892,10
18204,9414,47
18205,33218,6
18206,11206,
18207,20766,216
18208,32071,390
18209,23547,278
18210,47020,400
18322,10075,2379
18382,1493,
18404,23260,16
18423,9229,29
18442,10261,181
18481,4284,28
18483,26702,48
18501,39968,249
