code,kokyozahyo_total,kokyozahyo_outside
13101,235,24
13102,1002,5
13103,1328,115
13104,1995,38
13105,2152,91
13106,52,1
13107,2294,
13108,3382,14
13109,3313,70
13110,605,
13111,527,19
13112,11613,4
13113,8513,129
13114,1521,
13115,86,
13116,7479,197
13117,5469,100
13119,10000,44
13120,2809,41
13121,15601,15
13122,40080,262
13123,20209,2
13201,34849,306
13202,1309,3
13203,462,
13204,3,
13205,19495,119
13206,351,14
13207,1155,3
13208,257,
13209,26292,405
13210,33,
13211,1062,30
13212,9325,105
13213,109,
13214,46,1
13215,320,12
13218,5449,80
13220,896,
13222,417,5
13223,1182,52
13224,22495,348
13225,3619,6
13227,8012,322
13228,57738,157
13229,116,6
13303,20530,388
13305,22165,132
13308,5100,5
13361,30337,18
13362,3436,12
13363,13207,48
13364,12700,35
13381,23275,36
13382,2731,14
13401,30634,52
13402,905,
13421,7075,730
