code,kokyozahyo_total,kokyozahyo_outside
06201,72695,1187
06202,6396,144
06203,256218,524
06204,158927,908
06205,75431,814
06206,77949,923
06207,11259,41
06208,90688,378
06209,52054,335
06210,15422,407
06211,79492,749
06212,70809,569
06213,21470,
06301,37087,552
06302,27782,505
06321,37548,523
06322,43947,57
06323,47244,385
06324,33484,776
06341,25918,364
06361,33032,164
06362,46995,6
06363,39583,327
06364,49197,310
06365,30671,426
06366,36097,501
06367,31985,146
06381,44796,642
06382,21120,161
06401,41684,2
06402,74279,81
06403,34068,273
06426,19219,345
06428,66124,673
06461,81601,262
