code,zip_file,市区町村名,地番
28111,28111-1403-120.zip,神戸市西区,2594-14
28111,28111-1403-120.zip,神戸市西区,2594-15
28111,28111-1403-120.zip,神戸市西区,2594-16
28111,28111-1403-120.zip,神戸市西区,2594-17
28111,28111-1403-120.zip,神戸市西区,2594-18
28111,28111-1403-120.zip,神戸市西区,2594-19
28111,28111-1403-120.zip,神戸市西区,2594-20
28111,28111-1403-120.zip,神戸市西区,2594-21
28111,28111-1403-120.zip,神戸市西区,2594-22
28111,28111-1403-120.zip,神戸市西区,2594-24
28111,28111-1403-120.zip,神戸市西区,2594-25
28111,28111-1403-120.zip,神戸市西区,2594-26
28111,28111-1403-120.zip,神戸市西区,2594-27
28111,28111-1403-120.zip,神戸市西区,2594-28
28111,28111-1403-120.zip,神戸市西区,2595-3
28111,28111-1403-120.zip,神戸市西区,2595-4
28111,28111-1403-120.zip,神戸市西区,2595-5
28111,28111-1403-120.zip,神戸市西区,2595-6
28111,28111-1403-120.zip,神戸市西区,2595-7
28111,28111-1403-120.zip,神戸市西区,2595-8
28111,28111-1403-120.zip,神戸市西区,2595-9
28111,28111-1403-120.zip,神戸市西区,2595-10
28111,28111-1403-120.zip,神戸市西区,2595-11
28111,28111-1403-120.zip,神戸市西区,2595-12
28111,28111-1403-120.zip,神戸市西区,2595-13
28111,28111-1403-120.zip,神戸市西区,2595-14
28111,28111-1403-120.zip,神戸市西区,2595-15
28111,28111-1403-120.zip,神戸市西区,2595-16
28111,28111-1403-120.zip,神戸市西区,2595-17
28111,28111-1403-120.zip,神戸市西区,2595-18
28111,28111-1403-120.zip,神戸市西区,2595-19
28111,28111-1403-120.zip,神戸市西区,2595-20
28111,28111-1403-120.zip,神戸市西区,2595-21
28111,28111-1403-120.zip,神戸市西区,2596-3
28111,28111-1403-120.zip,神戸市西区,2598-1
28111,28111-1403-120.zip,神戸市西区,2598-2
28111,28111-1403-120.zip,神戸市西区,2599-1
28111,28111-1403-120.zip,神戸市西区,2599-2
28111,28111-1403-120.zip,神戸市西区,2599-3
28111,28111-1403-120.zip,神戸市西区,2599-4
28111,28111-1403-120.zip,神戸市西区,2600-1
28111,28111-1403-120.zip,神戸市西区,2600-2
28111,28111-1403-120.zip,神戸市西区,2600-3
28111,28111-1403-120.zip,神戸市西区,2601-1
28111,28111-1403-120.zip,神戸市西区,2601-2
28111,28111-1403-120.zip,神戸市西区,2601-3
28111,28111-1403-120.zip,神戸市西区,2601-4
28111,28111-1403-120.zip,神戸市西区,2601-5
28111,28111-1403-120.zip,神戸市西区,2609-1
